issue_type,menu_price,recipe_group,recipe_id,recipe_name,severity
no_ingredients,0.0,,163,24 Hour Chili Brined Chicken Thigh,critical
no_ingredients,0.0,Sauces,176,Alabama White BBQ,critical
no_ingredients,13.0,Main,184,BBQ Sauce Chicken Wings,critical
no_ingredients,13.0,Main,185,Buffalo Chicken Wings,critical
no_ingredients,1.0,Sauces,182,Buffalo Sauce - portion,critical
no_ingredients,0.0,Ingredient,159,CHilli Oil - Hot Fat,critical
no_ingredients,0.0,Sauces,170,Charred Onion Ranch,critical
no_ingredients,12.0,Main,169,Chicken Waffle Cone,critical
no_ingredients,10.0,Main,181,Chicken Wings,critical
no_ingredients,0.0,Ingredient,192,Clucking Spice (Seasoning Blend),critical
no_ingredients,0.0,Ingredient,168,Coleslaw,critical
no_ingredients,5.0,Sides,188,Collard Greens - Side Portion,critical
no_ingredients,0.0,Sides,189,Collard Greens Recipe,critical
no_ingredients,1.0,Sauces,179,Comeback Sauce - Portion,critical
no_ingredients,0.0,Sauces,166,Comeback Sauce - Updated 2025,critical
no_ingredients,0.0,Sauces,194,Comeback sauce,critical
no_ingredients,1.0,Sauces,164,DP- 05 Habanero Ranch,critical
no_ingredients,1.0,Sauces,141,DP-01 Charred-Onion Ranch Dip,critical
no_ingredients,1.0,Sauces,140,DP-02 Comeback Sauce,critical
no_ingredients,1.0,Sauces,139,DP-03 Honey Mustard,critical
no_ingredients,1.0,Sauces,138,DP-04 Hot Honey,critical
no_ingredients,1.0,Sauces,137,DP-05 Habanero Ranch,critical
no_ingredients,15.0,Main,156,FC-01 Thicc'n Tenders,critical
no_ingredients,15.0,Main,155,FC-02 Leg Quarter,critical
no_ingredients,14.0,Main,133,FC-03 Whole Wings,critical
no_ingredients,4.0,Main,158,FC-04 Fried Chicken Tender,critical
no_ingredients,14.0,Main,152,FT-01 Chicken Waffle Cone,critical
no_ingredients,14.0,Main,135,FT-02 Loaded Fries,critical
no_ingredients,15.0,Main,151,FT-03 Angry Chicken Mac bowl,critical
no_ingredients,5.0,Sides,136,French Fries - Portion,critical
no_ingredients,0.0,Sides,148,French Fries Recipe,critical
no_ingredients,0.0,Main,157,Fried Chicken Tender,critical
no_ingredients,0.0,Ingredient,191,Hot Fat,critical
no_ingredients,16.0,Main,183,Hot Fish,critical
no_ingredients,0.0,Sauces,171,Hot Honey - 2025,critical
no_ingredients,1.0,Sauces,172,Hot Honey - portion,critical
no_ingredients,13.0,Main,180,Hot Honey Chicken Wings,critical
no_ingredients,0.0,Sauces,173,Hot Honey Sauce,critical
no_ingredients,0.0,Ingredient,174,Kale - Chopped,critical
no_ingredients,5.0,Sides,196,Kale Kimchi - Side Portion,critical
no_ingredients,0.0,Sides,150,Kale Kimchi Recipe,critical
no_ingredients,0.0,Sides,145,LJ Mac,critical
no_ingredients,13.0,Main,186,Lemon Pepper Chicken Wings,critical
no_ingredients,1.0,Sauces,175,Lemon Pepper Sauce - Portion,critical
no_ingredients,12.0,Main,190,Loaded Fries,critical
no_ingredients,5.0,Sides,187,Mac & Cheese,critical
no_ingredients,0.0,Sauces,167,Mac Sauce,critical
no_ingredients,0.0,Sauces,143,Mac Sauce - Modified 2025,critical
no_ingredients,15.75,Main,165,Nashville Hot Chicken,critical
no_ingredients,0.0,Sauces,193,Onion Ranch,critical
no_ingredients,0.0,Toppings,197,Pickled Shallot,critical
no_ingredients,15.0,Main,195,Plain Jane Sandwich,critical
no_ingredients,0.0,Toppings,134,Ritz Crumble,critical
no_ingredients,0.0,Sauces,144,Roux recipe,critical
no_ingredients,13.0,Main,161,S-01 OG Nashville Chicken,critical
no_ingredients,13.0,Main,162,S-02 J-Blaze Chicken,critical
no_ingredients,12.0,Main,160,S-03 Plain Jane Sandwich,critical
no_ingredients,14.0,Main,154,S-04 Fish Sando,critical
no_ingredients,5.0,Sides,149,SD-01 Kale & Cabbage Slaw,critical
no_ingredients,5.0,Sides,147,SD-02 Extra-Crispy Fries with Ranch Powder,critical
no_ingredients,5.0,Sides,146,SD-03 LJ Mac,critical
no_ingredients,5.0,Sides,142,SD-04 Fried Corn Ribs,critical
no_ingredients,15.0,Salads,153,SL-01 Chicken Caesar Salad,critical
no_ingredients,0.0,Sides,178,Shredded Cabbage,critical
no_ingredients,0.0,,177,Shredded Carrots,critical
no_ingredients,4.0,Main,198,Tenders,critical
